,average_degree,clustering_coef,average_shortest_path,n_edges,n_nodes
0,4.0,0.2733333333333333,2.5733333333333333,50,25
1,4.0,0.2733333333333333,2.5733333333333333,50,25
2,3.68,0.20266666666666666,2.49,46,25
3,3.44,0.13638095238095238,2.526666666666667,43,25
4,3.12,0.09638095238095237,2.79,39,25
5,3.0,0.18896103896103897,2.7662337662337664,33,22
6,3.3043478260869565,0.1743271221532091,2.549407114624506,38,23
7,4.095238095238095,0.268896447467876,2.1666666666666665,43,21
8,4.16,0.1907936507936508,2.27,52,25
9,4.083333333333333,0.1232142857142857,2.3260869565217392,49,24
10,4.16,0.2825714285714286,2.316666666666667,52,25
11,3.6666666666666665,0.1632936507936508,2.467391304347826,44,24
12,3.5454545454545454,0.21017316017316015,2.4805194805194803,39,22
13,3.5833333333333335,0.15902777777777777,2.496376811594203,43,24
14,3.68,0.2251111111111111,2.49,46,25
15,3.52,0.1835238095238095,2.5566666666666666,44,25
16,3.4782608695652173,0.3199447895100069,2.458498023715415,40,23
17,3.6,0.10546031746031746,2.3966666666666665,45,25
18,3.6363636363636362,0.19736652236652236,2.3766233766233764,40,22
19,3.36,0.23498412698412696,2.49,42,25
20,3.0833333333333335,0.1671626984126984,2.5833333333333335,37,24
21,3.2,0.08976190476190475,2.3210526315789473,32,20
22,3.1666666666666665,0.12916666666666668,2.61231884057971,38,24
23,3.36,0.16152380952380951,2.6433333333333335,42,25
24,3.5,0.08095238095238096,2.467391304347826,42,24
25,3.5833333333333335,0.1347883597883598,2.38768115942029,43,24
26,3.3333333333333335,0.19027777777777777,2.7028985507246377,40,24
27,3.25,0.08726851851851852,2.6666666666666665,39,24
28,3.3333333333333335,0.1865079365079365,2.7065217391304346,40,24
29,3.272727272727273,0.23365800865800868,2.58008658008658,36,22
30,2.9166666666666665,0.24186507936507937,NaN,35,24
31,3.0476190476190474,0.1251700680272109,2.557142857142857,32,21
32,2.75,0.2571428571428572,4.054347826086956,33,24
33,2.5454545454545454,0.13787878787878788,NaN,28,22
34,2.48,0.05733333333333333,3.6266666666666665,31,25
35,2.272727272727273,0.10303030303030303,NaN,25,22
36,3.1,0.19333333333333333,2.6578947368421053,31,20
37,3.0,0.2712301587301587,2.9746376811594204,36,24
38,2.869565217391304,0.1292270531400966,2.964426877470356,33,23
39,2.5,0.15162037037037038,NaN,30,24
40,3.217391304347826,0.15693581780538302,2.505928853754941,37,23
41,2.909090909090909,0.1064935064935065,2.8225108225108224,32,22
42,3.272727272727273,0.15227272727272728,2.5584415584415585,36,22
43,3.130434782608696,0.21118012422360247,NaN,36,23
44,3.5833333333333335,0.2837632275132275,2.5869565217391304,43,24
45,3.75,0.23105158730158729,2.3768115942028984,45,24
46,3.92,0.21457142857142855,2.3833333333333333,49,25
47,3.727272727272727,0.3222943722943723,2.4415584415584415,41,22
48,3.3043478260869565,0.19668737060041408,2.7114624505928853,38,23
49,3.44,0.2019047619047619,2.8033333333333332,43,25
50,3.5652173913043477,0.3295031055900621,2.5533596837944663,41,23
51,3.25,0.15128968253968253,2.5253623188405796,39,24
52,2.608695652173913,0.16097308488612835,2.964426877470356,30,23
53,2.5454545454545454,0.04393939393939394,2.9264069264069263,28,22
54,2.56,0.13657142857142857,3.14,32,25
55,2.6956521739130435,0.054244306418219465,NaN,31,23
56,2.5217391304347827,0.021739130434782608,3.6047430830039526,29,23
57,2.56,0.014666666666666668,2.986666666666667,32,25
58,2.4166666666666665,0.12777777777777777,2.8768115942028984,29,24
59,2.75,0.16391941391941392,2.5869565217391304,33,24
60,2.8181818181818183,0.14923258559622196,2.354978354978355,31,22
61,3.272727272727273,0.2240981240981241,2.4025974025974026,36,22
62,3.5652173913043477,0.2262249827467219,2.4624505928853755,41,23
63,3.12,0.2884126984126984,2.64,39,25
64,3.3636363636363638,0.13156565656565655,2.4285714285714284,37,22
65,3.130434782608696,0.23319530710835057,2.656126482213439,36,23
66,3.0,0.1261574074074074,2.6159420289855073,36,24
67,2.9166666666666665,0.2041666666666667,2.8043478260869565,35,24
68,3.1666666666666665,0.2671626984126984,2.5,38,24
69,3.4782608695652173,0.15269151138716355,2.486166007905138,40,23
70,3.3043478260869565,0.1577639751552795,2.683794466403162,38,23
71,3.3333333333333335,0.06660052910052909,2.608695652173913,40,24
72,3.12,0.14800000000000002,2.8766666666666665,39,25
73,3.391304347826087,0.2380952380952381,2.6205533596837944,39,23
74,3.76,0.1465079365079365,2.453333333333333,47,25
75,3.5833333333333335,0.16746031746031745,2.3768115942028984,43,24
76,3.4782608695652173,0.14503105590062113,2.4782608695652173,40,23
77,3.4166666666666665,0.07242063492063493,2.463768115942029,41,24
78,3.727272727272727,0.2111471861471861,2.406926406926407,41,22
79,3.28,0.15238095238095237,2.68,41,25
80,3.2,0.08323809523809525,2.68,40,25
81,2.96,0.1217142857142857,NaN,37,25
82,3.0833333333333335,0.27411616161616165,2.7717391304347827,37,24
83,3.2,0.13123809523809524,2.5733333333333333,40,25
84,3.130434782608696,0.17298136645962733,NaN,36,23
85,2.75,0.11369047619047619,2.967391304347826,33,24
86,3.04,0.06657142857142857,2.71,38,25
87,2.9166666666666665,0.10476190476190476,2.7028985507246377,35,24
88,3.25,0.13988095238095238,2.681159420289855,39,24
89,3.0,0.05416666666666667,2.713768115942029,36,24
90,3.090909090909091,0.22575757575757577,NaN,34,22
91,2.6956521739130435,0.09130434782608696,3.2015810276679844,31,23
92,2.75,0.044444444444444446,3.0181159420289854,33,24
93,2.75,0.027777777777777776,2.847826086956522,33,24
94,2.782608695652174,0.21739130434782608,2.7628458498023716,32,23
95,2.72,0.18171428571428572,2.97,34,25
96,2.9166666666666665,0.0880952380952381,2.8405797101449277,35,24
97,3.130434782608696,0.08012422360248447,2.675889328063241,36,23
98,3.4545454545454546,0.20173160173160173,2.4372294372294374,38,22
99,3.75,0.27599206349206346,2.460144927536232,45,24
100,3.5652173913043477,0.20238095238095236,2.5217391304347827,41,23
101,3.68,0.2673015873015873,2.526666666666667,46,25
102,4.095238095238095,0.2387377173091459,2.1857142857142855,43,21
103,3.92,0.2757509157509157,2.2533333333333334,49,25
104,3.6,0.29297258297258294,2.3333333333333335,45,25
105,3.84,0.2386031746031746,2.31,48,25
106,3.6,0.1957142857142857,2.4366666666666665,45,25
107,3.1666666666666665,0.17876984126984127,2.601449275362319,38,24
108,3.0434782608695654,0.07277432712215322,2.6205533596837944,35,23
109,2.727272727272727,0.07525252525252525,2.696969696969697,30,22
110,2.6666666666666665,0.06944444444444443,3.0181159420289854,32,24
111,2.8,0.15452380952380954,2.6736842105263157,28,20
112,3.12,0.15225396825396825,2.5633333333333335,39,25
113,3.8181818181818183,0.21731601731601732,2.324675324675325,42,22
114,3.5833333333333335,0.21140873015873016,2.3840579710144927,43,24
115,3.8260869565217392,0.2953416149068323,2.4980237154150196,44,23
116,3.76,0.16352380952380952,2.3866666666666667,47,25
117,3.9166666666666665,0.41633597883597884,2.3731884057971016,47,24
118,3.9166666666666665,0.2540343915343915,2.3079710144927534,47,24
119,3.92,0.2182857142857143,2.41,49,25
120,3.391304347826087,0.21183574879227052,2.608695652173913,39,23
121,3.391304347826087,0.2834368530020704,2.6284584980237153,39,23
122,3.9130434782608696,0.19654934437543134,2.280632411067194,45,23
123,3.28,0.16904761904761906,2.6966666666666668,41,25
124,2.909090909090909,0.1275974025974026,2.7965367965367967,32,22
125,3.0,0.1718253968253968,2.7427536231884058,36,24
126,2.8333333333333335,0.062037037037037036,2.8152173913043477,34,24
127,3.0434782608695654,0.1546583850931677,2.616600790513834,35,23
128,3.0,0.03888888888888889,2.6666666666666665,36,24
129,2.347826086956522,0.0,3.1383399209486167,27,23
130,2.4166666666666665,0.04563492063492064,3.0,29,24
131,2.5217391304347827,0.0,3.2845849802371543,29,23
132,2.5833333333333335,0.10535714285714286,3.036231884057971,31,24
133,3.0476190476190474,0.09070294784580499,2.619047619047619,32,21
134,2.64,0.07257142857142856,3.2666666666666666,33,25
135,2.6956521739130435,0.08115942028985508,2.9288537549407114,31,23
136,3.0,0.049206349206349205,2.670289855072464,36,24
137,2.4347826086956523,0.17805383022774326,NaN,28,23
138,3.090909090909091,0.0775974025974026,2.7186147186147185,34,22
139,3.4166666666666665,0.2869047619047619,2.9130434782608696,41,24
140,4.086956521739131,0.16956521739130434,2.3517786561264824,47,23
141,3.5652173913043477,0.14202898550724638,2.5928853754940713,41,23
142,3.9166666666666665,0.12777777777777777,2.329710144927536,47,24
143,3.92,0.09809523809523808,2.42,49,25
144,3.9166666666666665,0.12083333333333333,2.398550724637681,47,24
145,3.8260869565217392,0.2132505175983437,2.3715415019762847,44,23
146,3.28,0.16352380952380952,2.6366666666666667,41,25
147,3.3333333333333335,0.13802308802308802,2.471014492753623,40,24
148,3.3043478260869565,0.2652173913043478,NaN,38,23
149,3.727272727272727,0.2772727272727273,2.3896103896103895,41,22
150,4.416666666666667,0.3577559015059015,2.177536231884058,53,24
151,4.0,0.3251924001924002,2.246376811594203,48,24
152,3.6363636363636362,0.17085137085137084,2.346320346320346,40,22
153,3.727272727272727,0.16634199134199135,2.3203463203463204,41,22
154,4.0,0.20582010582010582,2.2753623188405796,48,24
155,3.76,0.24714285714285716,2.4433333333333334,47,25
156,3.84,0.19796536796536796,2.4966666666666666,48,25
157,3.3636363636363638,0.1567099567099567,2.5454545454545454,37,22
158,3.25,0.08472222222222221,2.5942028985507246,39,24
159,3.5454545454545454,0.13484848484848486,2.398268398268398,39,22
160,3.0833333333333335,0.059722222222222225,2.5942028985507246,37,24
161,2.9565217391304346,0.19047619047619047,2.6679841897233203,34,23
162,3.1818181818181817,0.1406926406926407,2.380952380952381,35,22
163,2.869565217391304,0.12318840579710146,2.7233201581027666,33,23
164,2.96,0.148,2.78,37,25
165,3.0833333333333335,0.15753968253968254,2.6884057971014492,37,24
166,3.0434782608695654,0.19296066252587993,2.7470355731225298,35,23
167,3.4166666666666665,0.11498015873015872,2.536231884057971,41,24
168,3.52,0.16984126984126985,NaN,44,25
169,3.52,0.1499047619047619,2.4566666666666666,44,25
170,3.4782608695652173,0.08405797101449275,2.4229249011857705,40,23
171,3.75,0.2787698412698413,2.3731884057971016,45,24
172,3.217391304347826,0.19855072463768114,2.8537549407114624,37,23
173,2.9565217391304346,0.07515527950310559,2.8063241106719365,34,23
174,2.869565217391304,0.19948240165631467,NaN,33,23
175,2.272727272727273,0.16190476190476188,NaN,25,22
176,3.0434782608695654,0.0979296066252588,2.739130434782609,35,23
177,3.4782608695652173,0.35648723257418913,2.458498023715415,40,23
178,3.25,0.20148809523809522,NaN,39,24
179,3.5454545454545454,0.25054112554112556,2.4718614718614718,39,22
180,3.44,0.15685714285714286,2.533333333333333,43,25
181,3.1666666666666665,0.1708333333333333,NaN,38,24
182,3.391304347826087,0.184472049689441,2.5573122529644268,39,23
183,2.9565217391304346,0.18819875776397516,2.9209486166007905,34,23
184,3.0833333333333335,0.18115079365079365,2.6739130434782608,37,24
185,3.130434782608696,0.141407867494824,2.561264822134387,36,23
186,3.3636363636363638,0.2032828282828283,2.4415584415584415,37,22
187,3.1666666666666665,0.07668650793650793,2.782608695652174,38,24
188,3.44,0.1998095238095238,2.6066666666666665,43,25
189,3.0,0.09424603174603174,2.7644927536231885,36,24
190,3.3043478260869565,0.15020703933747412,2.6679841897233203,38,23
191,3.3333333333333335,0.1261904761904762,2.6268115942028984,40,24
192,3.090909090909091,0.19242424242424241,2.878787878787879,34,22
193,2.9166666666666665,0.07916666666666666,2.8659420289855073,35,24
194,2.5454545454545454,0.17727272727272728,3.051948051948052,28,22
195,3.0,0.13308080808080808,2.5454545454545454,33,22
196,2.9565217391304346,0.06532091097308489,2.632411067193676,34,23
197,3.5652173913043477,0.06418219461697723,2.411067193675889,41,23
198,3.3333333333333335,0.021230158730158728,2.431159420289855,40,24
199,3.2,0.11571428571428571,2.6666666666666665,40,25
200,3.130434782608696,0.10714285714285715,NaN,36,23
201,3.25,0.12678571428571428,NaN,39,24
202,2.8,0.128,3.1,35,25
203,2.48,0.132,NaN,31,25
204,3.0,0.24375,2.898550724637681,36,24
205,2.869565217391304,0.15424430641821946,2.7233201581027666,33,23
206,2.761904761904762,0.015873015873015872,2.623809523809524,29,21
207,3.3,0.1005952380952381,2.231578947368421,33,20
208,3.3043478260869565,0.10175983436853,2.4347826086956523,38,23
209,3.12,0.15619047619047619,2.6966666666666668,39,25
210,3.0833333333333335,0.04226190476190476,2.648550724637681,37,24
211,3.0,0.05909090909090909,2.735930735930736,33,22
212,3.0434782608695654,0.09627329192546584,2.7865612648221343,35,23
213,3.25,0.22123015873015872,2.88768115942029,39,24
214,3.12,0.13657142857142857,2.7733333333333334,39,25
215,2.72,0.0,2.86,34,25
216,2.909090909090909,0.08333333333333333,2.8225108225108224,32,22
217,3.652173913043478,0.1836783988957902,2.466403162055336,42,23
218,3.5833333333333335,0.22387566137566137,2.5434782608695654,43,24
219,3.3043478260869565,0.1859903381642512,2.5533596837944663,38,23
220,2.869565217391304,0.11376811594202899,2.707509881422925,33,23
221,2.8333333333333335,0.17797619047619048,2.7282608695652173,34,24
222,3.1666666666666665,0.1351190476190476,2.579710144927536,38,24
223,3.4782608695652173,0.212008281573499,2.4426877470355732,40,23
224,3.5833333333333335,0.1994047619047619,2.5434782608695654,43,24
225,3.8333333333333335,0.11881613756613757,2.3079710144927534,46,24
226,3.8333333333333335,0.20551948051948052,2.3550724637681157,46,24
227,3.739130434782609,0.11266390614216702,2.4545454545454546,43,23
228,3.25,0.10714285714285714,2.8333333333333335,39,24
229,3.391304347826087,0.17515527950310558,NaN,39,23
230,3.44,0.21009523809523808,NaN,43,25
231,3.25,0.12807539682539681,2.5869565217391304,39,24
232,2.909090909090909,0.1331168831168831,2.601731601731602,32,22
233,3.4782608695652173,0.1657694962042788,2.3517786561264824,40,23
234,3.3043478260869565,0.06438923395445136,2.6482213438735176,38,23
235,3.2,0.15047619047619049,2.716666666666667,40,25
236,3.0833333333333335,0.09583333333333333,2.7028985507246377,37,24
237,2.869565217391304,0.03768115942028986,2.6719367588932808,33,23
238,3.0434782608695654,0.16273291925465838,2.6679841897233203,35,23
239,2.909090909090909,0.1695887445887446,2.696969696969697,32,22
240,2.8181818181818183,0.1158008658008658,3.0606060606060606,31,22
241,2.8333333333333335,0.10634920634920635,NaN,34,24
242,3.4545454545454546,0.11363636363636363,2.6277056277056277,38,22
243,3.9166666666666665,0.1630952380952381,2.4239130434782608,47,24
